modern_iso3,country,year,season
LAO,Laos,1996,Summer
LBN,Lebanon,1996,Summer
LBR,Liberia,1996,Summer
LBY,Libya,1996,Summer
LCA,Saint Lucia,1996,Summer
LIE,Liechtenstein,1996,Summer
LKA,Sri Lanka,1996,Summer
LSO,Lesotho,1996,Summer
LTU,Lithuania,1996,Summer
LUX,Luxembourg,1996,Summer
LVA,Latvia,1996,Summer
MAR,Morocco,1996,Summer
MCO,Monaco,1996,Summer
MDA,Moldova,1996,Summer
MDG,Madagascar,1996,Summer
MDV,Maldives,1996,Summer
MEX,Mexico,1996,Summer
MKD,North Macedonia,1996,Summer
MLI,Mali,1996,Summer
MLT,Malta,1996,Summer
MMR,Myanmar,1996,Summer
MNG,Mongolia,1996,Summer
MOZ,Mozambique,1996,Summer
MRT,Mauritania,1996,Summer
MUS,Mauritius,1996,Summer
MWI,Malawi,1996,Summer
MYS,Malaysia,1996,Summer
NAM,Namibia,1996,Summer
NER,Niger,1996,Summer
NGA,Nigeria,1996,Summer
NIC,Nicaragua,1996,Summer
NLD,Netherlands,1996,Summer
NOR,Norway,1996,Summer
NPL,Nepal,1996,Summer
NRU,Nauru,1996,Summer
NZL,New Zealand,1996,Summer
OMN,Oman,1996,Summer
PAK,Pakistan,1996,Summer
PAN,Panama,1996,Summer
PER,Peru,1996,Summer
PHL,Philippines,1996,Summer
PNG,Papua New Guinea,1996,Summer
POL,Poland,1996,Summer
PRI,Puerto Rico,1996,Summer
PRK,North Korea,1996,Summer
PRT,Portugal,1996,Summer
PRY,Paraguay,1996,Summer
PSE,Palestine,1996,Summer
QAT,Qatar,1996,Summer
ROU,Romania,1996,Summer
RUS,Russia,1996,Summer
RWA,Rwanda,1996,Summer
SAU,Saudi Arabia,1996,Summer
SDN,Sudan,1996,Summer
SEN,Senegal,1996,Summer
SGP,Singapore,1996,Summer
SLB,Solomon Islands,1996,Summer
SLE,Sierra Leone,1996,Summer
SLV,El Salvador,1996,Summer
SMR,San Marino,1996,Summer
SOM,Somalia,1996,Summer
STP,Sao Tome and Principe,1996,Summer
SUR,Suriname,1996,Summer
SVK,Slovakia,1996,Summer
SVN,Slovenia,1996,Summer
SWE,Sweden,1996,Summer
SWZ,Eswatini,1996,Summer
SYC,Seychelles,1996,Summer
SYR,Syria,1996,Summer
TCD,Chad,1996,Summer
TGO,Togo,1996,Summer
THA,Thailand,1996,Summer
TJK,Tajikistan,1996,Summer
TKM,Turkmenistan,1996,Summer
TON,Tonga,1996,Summer
TTO,Trinidad and Tobago,1996,Summer
TUN,Tunisia,1996,Summer
TUR,Turkey,1996,Summer
TWN,Taiwan,1996,Summer
TZA,Tanzania,1996,Summer
UGA,Uganda,1996,Summer
UKR,Ukraine,1996,Summer
URY,Uruguay,1996,Summer
USA,United States,1996,Summer
UZB,Uzbekistan,1996,Summer
VCT,Saint Vincent and the Grenadines,1996,Summer
VEN,Venezuela,1996,Summer
VGB,British Virgin Islands,1996,Summer
VIR,US Virgin Islands,1996,Summer
VNM,Vietnam,1996,Summer
VUT,Vanuatu,1996,Summer
WSM,Samoa,1996,Summer
YEM,Yemen,1996,Summer
ZAF,South Africa,1996,Summer
ZMB,Zambia,1996,Summer
ZWE,Zimbabwe,1996,Summer
AND,Andorra,1998,Winter
ARG,Argentina,1998,Winter
ARM,Armenia,1998,Winter
AUS,Australia,1998,Winter
AUT,Austria,1998,Winter
AZE,Azerbaijan,1998,Winter
BEL,Belgium,1998,Winter
BGR,Bulgaria,1998,Winter
BIH,Bosnia and Herzegovina,1998,Winter
BLR,Belarus,1998,Winter
BMU,Bermuda,1998,Winter
BRA,Brazil,1998,Winter
CAN,Canada,1998,Winter
CHE,Switzerland,1998,Winter
CHL,Chile,1998,Winter
CHN,China,1998,Winter
CYP,Cyprus,1998,Winter
CZE,Czech Republic,1998,Winter
DEU,Germany,1998,Winter
DNK,Denmark,1998,Winter
ESP,Spain,1998,Winter
EST,Estonia,1998,Winter
FIN,Finland,1998,Winter
FRA,France,1998,Winter
GBR,United Kingdom,1998,Winter
GEO,Georgia,1998,Winter
GRC,Greece,1998,Winter
HRV,Croatia,1998,Winter
HUN,Hungary,1998,Winter
IND,India,1998,Winter
IRL,Ireland,1998,Winter
IRN,Iran,1998,Winter
ISL,Iceland,1998,Winter
ISR,Israel,1998,Winter
ITA,Italy,1998,Winter
JAM,Jamaica,1998,Winter
JPN,Japan,1998,Winter
KAZ,Kazakhstan,1998,Winter
KEN,Kenya,1998,Winter
KGZ,Kyrgyzstan,1998,Winter
KOR,South Korea,1998,Winter
LIE,Liechtenstein,1998,Winter
LTU,Lithuania,1998,Winter
LUX,Luxembourg,1998,Winter
LVA,Latvia,1998,Winter
MCO,Monaco,1998,Winter
MDA,Moldova,1998,Winter
MKD,North Macedonia,1998,Winter
MNG,Mongolia,1998,Winter
NLD,Netherlands,1998,Winter
NOR,Norway,1998,Winter
NZL,New Zealand,1998,Winter
POL,Poland,1998,Winter
PRI,Puerto Rico,1998,Winter
PRK,North Korea,1998,Winter
PRT,Portugal,1998,Winter
ROU,Romania,1998,Winter
RUS,Russia,1998,Winter
SVK,Slovakia,1998,Winter
SVN,Slovenia,1998,Winter
SWE,Sweden,1998,Winter
TTO,Trinidad and Tobago,1998,Winter
TUR,Turkey,1998,Winter
TWN,Taiwan,1998,Winter
UKR,Ukraine,1998,Winter
URY,Uruguay,1998,Winter
USA,United States,1998,Winter
UZB,Uzbekistan,1998,Winter
VEN,Venezuela,1998,Winter
VIR,US Virgin Islands,1998,Winter
ZAF,South Africa,1998,Winter
ABW,Aruba,2000,Summer
AGO,Angola,2000,Summer
ALB,Albania,2000,Summer
AND,Andorra,2000,Summer
ARE,United Arab Emirates,2000,Summer
ARG,Argentina,2000,Summer
ARM,Armenia,2000,Summer
ASM,American Samoa,2000,Summer
ATG,Antigua and Barbuda,2000,Summer
AUS,Australia,2000,Summer
AUT,Austria,2000,Summer
AZE,Azerbaijan,2000,Summer
BDI,Burundi,2000,Summer
BEL,Belgium,2000,Summer
BEN,Benin,2000,Summer
BFA,Burkina Faso,2000,Summer
BGD,Bangladesh,2000,Summer
BGR,Bulgaria,2000,Summer
BHR,Bahrain,2000,Summer
BHS,Bahamas,2000,Summer
BIH,Bosnia and Herzegovina,2000,Summer
BLR,Belarus,2000,Summer
BLZ,Belize,2000,Summer
BMU,Bermuda,2000,Summer
BOL,Bolivia,2000,Summer
BRA,Brazil,2000,Summer
BRB,Barbados,2000,Summer
BRN,Brunei,2000,Summer
BTN,Bhutan,2000,Summer
BWA,Botswana,2000,Summer
CAF,Central African Republic,2000,Summer
CAN,Canada,2000,Summer
CHE,Switzerland,2000,Summer
CHL,Chile,2000,Summer
CHN,China,2000,Summer
CIV,Ivory Coast,2000,Summer
CMR,Cameroon,2000,Summer
COD,DR Congo,2000,Summer
COG,Congo,2000,Summer
COK,Cook Islands,2000,Summer
COL,Colombia,2000,Summer
COM,Comoros,2000,Summer
CPV,Cape Verde,2000,Summer
CRI,Costa Rica,2000,Summer
CUB,Cuba,2000,Summer
CUW,Netherlands Antilles,2000,Summer
CYM,Cayman Islands,2000,Summer
CYP,Cyprus,2000,Summer
CZE,Czech Republic,2000,Summer
DEU,Germany,2000,Summer
DJI,Djibouti,2000,Summer
DMA,Dominica,2000,Summer
DNK,Denmark,2000,Summer
DOM,Dominican Republic,2000,Summer
DZA,Algeria,2000,Summer
ECU,Ecuador,2000,Summer
EGY,Egypt,2000,Summer
ERI,Eritrea,2000,Summer
ESP,Spain,2000,Summer
EST,Estonia,2000,Summer
ETH,Ethiopia,2000,Summer
FIN,Finland,2000,Summer
FJI,Fiji,2000,Summer
FRA,France,2000,Summer
FSM,Micronesia,2000,Summer
GAB,Gabon,2000,Summer
GBR,United Kingdom,2000,Summer
GEO,Georgia,2000,Summer
GHA,Ghana,2000,Summer
GIN,Guinea,2000,Summer
GMB,Gambia,2000,Summer
GNB,Guinea-Bissau,2000,Summer
GNQ,Equatorial Guinea,2000,Summer
GRC,Greece,2000,Summer
GRD,Grenada,2000,Summer
GTM,Guatemala,2000,Summer
GUM,Guam,2000,Summer
GUY,Guyana,2000,Summer
HKG,Hong Kong,2000,Summer
HND,Honduras,2000,Summer
HRV,Croatia,2000,Summer
HTI,Haiti,2000,Summer
HUN,Hungary,2000,Summer
IDN,Indonesia,2000,Summer
IND,India,2000,Summer
IRL,Ireland,2000,Summer
IRN,Iran,2000,Summer
IRQ,Iraq,2000,Summer
ISL,Iceland,2000,Summer
ISR,Israel,2000,Summer
ITA,Italy,2000,Summer
JAM,Jamaica,2000,Summer
JOR,Jordan,2000,Summer
JPN,Japan,2000,Summer
KAZ,Kazakhstan,2000,Summer
KEN,Kenya,2000,Summer
KGZ,Kyrgyzstan,2000,Summer
KHM,Cambodia,2000,Summer
KNA,Saint Kitts and Nevis,2000,Summer
KOR,South Korea,2000,Summer
KWT,Kuwait,2000,Summer
LAO,Laos,2000,Summer
LBN,Lebanon,2000,Summer
LBR,Liberia,2000,Summer
LBY,Libya,2000,Summer
LCA,Saint Lucia,2000,Summer
LIE,Liechtenstein,2000,Summer
LKA,Sri Lanka,2000,Summer
LSO,Lesotho,2000,Summer
LTU,Lithuania,2000,Summer
LUX,Luxembourg,2000,Summer
LVA,Latvia,2000,Summer
MAR,Morocco,2000,Summer
MCO,Monaco,2000,Summer
MDA,Moldova,2000,Summer
MDG,Madagascar,2000,Summer
MDV,Maldives,2000,Summer
MEX,Mexico,2000,Summer
MKD,North Macedonia,2000,Summer
MLI,Mali,2000,Summer
MLT,Malta,2000,Summer
MMR,Myanmar,2000,Summer
MNG,Mongolia,2000,Summer
MOZ,Mozambique,2000,Summer
MRT,Mauritania,2000,Summer
MUS,Mauritius,2000,Summer
MWI,Malawi,2000,Summer
MYS,Malaysia,2000,Summer
NAM,Namibia,2000,Summer
NER,Niger,2000,Summer
NGA,Nigeria,2000,Summer
NIC,Nicaragua,2000,Summer
NLD,Netherlands,2000,Summer
NOR,Norway,2000,Summer
NPL,Nepal,2000,Summer
NRU,Nauru,2000,Summer
NZL,New Zealand,2000,Summer
OMN,Oman,2000,Summer
PAK,Pakistan,2000,Summer
PAN,Panama,2000,Summer
PER,Peru,2000,Summer
PHL,Philippines,2000,Summer
PLW,Palau,2000,Summer
PNG,Papua New Guinea,2000,Summer
POL,Poland,2000,Summer
PRI,Puerto Rico,2000,Summer
PRK,North Korea,2000,Summer
PRT,Portugal,2000,Summer
PRY,Paraguay,2000,Summer
PSE,Palestine,2000,Summer
QAT,Qatar,2000,Summer
ROU,Romania,2000,Summer
RUS,Russia,2000,Summer
RWA,Rwanda,2000,Summer
SAU,Saudi Arabia,2000,Summer
SDN,Sudan,2000,Summer
SEN,Senegal,2000,Summer
SGP,Singapore,2000,Summer
SLB,Solomon Islands,2000,Summer
SLE,Sierra Leone,2000,Summer
SLV,El Salvador,2000,Summer
SMR,San Marino,2000,Summer
SOM,Somalia,2000,Summer
STP,Sao Tome and Principe,2000,Summer
SUR,Suriname,2000,Summer
SVK,Slovakia,2000,Summer
SVN,Slovenia,2000,Summer
SWE,Sweden,2000,Summer
SWZ,Eswatini,2000,Summer
SYC,Seychelles,2000,Summer
SYR,Syria,2000,Summer
TCD,Chad,2000,Summer
TGO,Togo,2000,Summer
THA,Thailand,2000,Summer
TJK,Tajikistan,2000,Summer
TKM,Turkmenistan,2000,Summer
TON,Tonga,2000,Summer
TTO,Trinidad and Tobago,2000,Summer
TUN,Tunisia,2000,Summer
TUR,Turkey,2000,Summer
TWN,Taiwan,2000,Summer
TZA,Tanzania,2000,Summer
UGA,Uganda,2000,Summer
UKR,Ukraine,2000,Summer
URY,Uruguay,2000,Summer
USA,United States,2000,Summer
UZB,Uzbekistan,2000,Summer
VCT,Saint Vincent and the Grenadines,2000,Summer
VEN,Venezuela,2000,Summer
VGB,British Virgin Islands,2000,Summer
VIR,US Virgin Islands,2000,Summer
VNM,Vietnam,2000,Summer
VUT,Vanuatu,2000,Summer
WSM,Samoa,2000,Summer
YEM,Yemen,2000,Summer
ZAF,South Africa,2000,Summer
ZMB,Zambia,2000,Summer
ZWE,Zimbabwe,2000,Summer
AND,Andorra,2002,Winter
ARG,Argentina,2002,Winter
ARM,Armenia,2002,Winter
AUS,Australia,2002,Winter
AUT,Austria,2002,Winter
AZE,Azerbaijan,2002,Winter
BEL,Belgium,2002,Winter
BGR,Bulgaria,2002,Winter
BIH,Bosnia and Herzegovina,2002,Winter
BLR,Belarus,2002,Winter
BMU,Bermuda,2002,Winter
BRA,Brazil,2002,Winter
CAN,Canada,2002,Winter
CHE,Switzerland,2002,Winter
CHL,Chile,2002,Winter
CHN,China,2002,Winter
CMR,Cameroon,2002,Winter
CRI,Costa Rica,2002,Winter
CYP,Cyprus,2002,Winter
CZE,Czech Republic,2002,Winter
DEU,Germany,2002,Winter
DNK,Denmark,2002,Winter
ESP,Spain,2002,Winter
EST,Estonia,2002,Winter
FIN,Finland,2002,Winter
FJI,Fiji,2002,Winter
FRA,France,2002,Winter
GBR,United Kingdom,2002,Winter
GEO,Georgia,2002,Winter
GRC,Greece,2002,Winter
HKG,Hong Kong,2002,Winter
HRV,Croatia,2002,Winter
HUN,Hungary,2002,Winter
IND,India,2002,Winter
IRL,Ireland,2002,Winter
IRN,Iran,2002,Winter
ISL,Iceland,2002,Winter
ISR,Israel,2002,Winter
ITA,Italy,2002,Winter
JAM,Jamaica,2002,Winter
JPN,Japan,2002,Winter
KAZ,Kazakhstan,2002,Winter
KEN,Kenya,2002,Winter
KGZ,Kyrgyzstan,2002,Winter
KOR,South Korea,2002,Winter
LBN,Lebanon,2002,Winter
LIE,Liechtenstein,2002,Winter
LTU,Lithuania,2002,Winter
LVA,Latvia,2002,Winter
MCO,Monaco,2002,Winter
MDA,Moldova,2002,Winter
MEX,Mexico,2002,Winter
MKD,North Macedonia,2002,Winter
MNG,Mongolia,2002,Winter
NLD,Netherlands,2002,Winter
NOR,Norway,2002,Winter
NPL,Nepal,2002,Winter
NZL,New Zealand,2002,Winter
POL,Poland,2002,Winter
PRK,North Korea,2002,Winter
ROU,Romania,2002,Winter
RUS,Russia,2002,Winter
SMR,San Marino,2002,Winter
SVK,Slovakia,2002,Winter
SVN,Slovenia,2002,Winter
SWE,Sweden,2002,Winter
THA,Thailand,2002,Winter
TJK,Tajikistan,2002,Winter
TTO,Trinidad and Tobago,2002,Winter
TUR,Turkey,2002,Winter
TWN,Taiwan,2002,Winter
UKR,Ukraine,2002,Winter
USA,United States,2002,Winter
UZB,Uzbekistan,2002,Winter
VEN,Venezuela,2002,Winter
VIR,US Virgin Islands,2002,Winter
ZAF,South Africa,2002,Winter
ABW,Aruba,2004,Summer
AFG,Afghanistan,2004,Summer
AGO,Angola,2004,Summer
ALB,Albania,2004,Summer
AND,Andorra,2004,Summer
ARE,United Arab Emirates,2004,Summer
ARG,Argentina,2004,Summer
ARM,Armenia,2004,Summer
ASM,American Samoa,2004,Summer
ATG,Antigua and Barbuda,2004,Summer
AUS,Australia,2004,Summer
AUT,Austria,2004,Summer
AZE,Azerbaijan,2004,Summer
BDI,Burundi,2004,Summer
BEL,Belgium,2004,Summer
BEN,Benin,2004,Summer
BFA,Burkina Faso,2004,Summer
BGD,Bangladesh,2004,Summer
BGR,Bulgaria,2004,Summer
BHR,Bahrain,2004,Summer
BHS,Bahamas,2004,Summer
BIH,Bosnia and Herzegovina,2004,Summer
BLR,Belarus,2004,Summer
BLZ,Belize,2004,Summer
BMU,Bermuda,2004,Summer
BOL,Bolivia,2004,Summer
BRA,Brazil,2004,Summer
BRB,Barbados,2004,Summer
BRN,Brunei,2004,Summer
BTN,Bhutan,2004,Summer
BWA,Botswana,2004,Summer
CAF,Central African Republic,2004,Summer
CAN,Canada,2004,Summer
CHE,Switzerland,2004,Summer
CHL,Chile,2004,Summer
CHN,China,2004,Summer
CIV,Ivory Coast,2004,Summer
CMR,Cameroon,2004,Summer
COD,DR Congo,2004,Summer
COG,Congo,2004,Summer
COK,Cook Islands,2004,Summer
COL,Colombia,2004,Summer
COM,Comoros,2004,Summer
CPV,Cape Verde,2004,Summer
CRI,Costa Rica,2004,Summer
CUB,Cuba,2004,Summer
CUW,Netherlands Antilles,2004,Summer
CYM,Cayman Islands,2004,Summer
CYP,Cyprus,2004,Summer
CZE,Czech Republic,2004,Summer
DEU,Germany,2004,Summer
DMA,Dominica,2004,Summer
DNK,Denmark,2004,Summer
DOM,Dominican Republic,2004,Summer
DZA,Algeria,2004,Summer
ECU,Ecuador,2004,Summer
EGY,Egypt,2004,Summer
ERI,Eritrea,2004,Summer
ESP,Spain,2004,Summer
EST,Estonia,2004,Summer
ETH,Ethiopia,2004,Summer
FIN,Finland,2004,Summer
FJI,Fiji,2004,Summer
FRA,France,2004,Summer
FSM,Micronesia,2004,Summer
GAB,Gabon,2004,Summer
GBR,United Kingdom,2004,Summer
GEO,Georgia,2004,Summer
GHA,Ghana,2004,Summer
GIN,Guinea,2004,Summer
GMB,Gambia,2004,Summer
GNB,Guinea-Bissau,2004,Summer
GNQ,Equatorial Guinea,2004,Summer
GRC,Greece,2004,Summer
GRD,Grenada,2004,Summer
GTM,Guatemala,2004,Summer
GUM,Guam,2004,Summer
GUY,Guyana,2004,Summer
HKG,Hong Kong,2004,Summer
HND,Honduras,2004,Summer
HRV,Croatia,2004,Summer
HTI,Haiti,2004,Summer
HUN,Hungary,2004,Summer
IDN,Indonesia,2004,Summer
IND,India,2004,Summer
IRL,Ireland,2004,Summer
IRN,Iran,2004,Summer
IRQ,Iraq,2004,Summer
ISL,Iceland,2004,Summer
ISR,Israel,2004,Summer
ITA,Italy,2004,Summer
JAM,Jamaica,2004,Summer
JOR,Jordan,2004,Summer
JPN,Japan,2004,Summer
KAZ,Kazakhstan,2004,Summer
KEN,Kenya,2004,Summer
KGZ,Kyrgyzstan,2004,Summer
KHM,Cambodia,2004,Summer
KIR,Kiribati,2004,Summer
KNA,Saint Kitts and Nevis,2004,Summer
KOR,South Korea,2004,Summer
KWT,Kuwait,2004,Summer
LAO,Laos,2004,Summer
LBN,Lebanon,2004,Summer
LBR,Liberia,2004,Summer
LBY,Libya,2004,Summer
LCA,Saint Lucia,2004,Summer
LIE,Liechtenstein,2004,Summer
LKA,Sri Lanka,2004,Summer
LSO,Lesotho,2004,Summer
LTU,Lithuania,2004,Summer
LUX,Luxembourg,2004,Summer
LVA,Latvia,2004,Summer
MAR,Morocco,2004,Summer
MCO,Monaco,2004,Summer
MDA,Moldova,2004,Summer
MDG,Madagascar,2004,Summer
MDV,Maldives,2004,Summer
MEX,Mexico,2004,Summer
MKD,North Macedonia,2004,Summer
MLI,Mali,2004,Summer
MLT,Malta,2004,Summer
MMR,Myanmar,2004,Summer
MNG,Mongolia,2004,Summer
MOZ,Mozambique,2004,Summer
MRT,Mauritania,2004,Summer
MUS,Mauritius,2004,Summer
MWI,Malawi,2004,Summer
MYS,Malaysia,2004,Summer
NAM,Namibia,2004,Summer
NER,Niger,2004,Summer
NGA,Nigeria,2004,Summer
NIC,Nicaragua,2004,Summer
NLD,Netherlands,2004,Summer
NOR,Norway,2004,Summer
NPL,Nepal,2004,Summer
NRU,Nauru,2004,Summer
NZL,New Zealand,2004,Summer
OMN,Oman,2004,Summer
PAK,Pakistan,2004,Summer
PAN,Panama,2004,Summer
PER,Peru,2004,Summer
PHL,Philippines,2004,Summer
PLW,Palau,2004,Summer
PNG,Papua New Guinea,2004,Summer
POL,Poland,2004,Summer
PRI,Puerto Rico,2004,Summer
PRK,North Korea,2004,Summer
PRT,Portugal,2004,Summer
PRY,Paraguay,2004,Summer
PSE,Palestine,2004,Summer
QAT,Qatar,2004,Summer
ROU,Romania,2004,Summer
RUS,Russia,2004,Summer
RWA,Rwanda,2004,Summer
SAU,Saudi Arabia,2004,Summer
SDN,Sudan,2004,Summer
SEN,Senegal,2004,Summer
SGP,Singapore,2004,Summer
SLB,Solomon Islands,2004,Summer
SLE,Sierra Leone,2004,Summer
SLV,El Salvador,2004,Summer
SMR,San Marino,2004,Summer
SOM,Somalia,2004,Summer
STP,Sao Tome and Principe,2004,Summer
SUR,Suriname,2004,Summer
SVK,Slovakia,2004,Summer
SVN,Slovenia,2004,Summer
SWE,Sweden,2004,Summer
SWZ,Eswatini,2004,Summer
SYC,Seychelles,2004,Summer
SYR,Syria,2004,Summer
TCD,Chad,2004,Summer
TGO,Togo,2004,Summer
THA,Thailand,2004,Summer
TJK,Tajikistan,2004,Summer
TKM,Turkmenistan,2004,Summer
TLS,Timor-Leste,2004,Summer
TON,Tonga,2004,Summer
TTO,Trinidad and Tobago,2004,Summer
TUN,Tunisia,2004,Summer
TUR,Turkey,2004,Summer
TWN,Taiwan,2004,Summer
TZA,Tanzania,2004,Summer
UGA,Uganda,2004,Summer
UKR,Ukraine,2004,Summer
URY,Uruguay,2004,Summer
USA,United States,2004,Summer
UZB,Uzbekistan,2004,Summer
VCT,Saint Vincent and the Grenadines,2004,Summer
VEN,Venezuela,2004,Summer
VGB,British Virgin Islands,2004,Summer
VIR,US Virgin Islands,2004,Summer
VNM,Vietnam,2004,Summer
VUT,Vanuatu,2004,Summer
WSM,Samoa,2004,Summer
YEM,Yemen,2004,Summer
ZAF,South Africa,2004,Summer
ZMB,Zambia,2004,Summer
ZWE,Zimbabwe,2004,Summer
ALB,Albania,2006,Winter
AND,Andorra,2006,Winter
ARG,Argentina,2006,Winter
ARM,Armenia,2006,Winter
AUS,Australia,2006,Winter
AUT,Austria,2006,Winter
AZE,Azerbaijan,2006,Winter
BEL,Belgium,2006,Winter
BGR,Bulgaria,2006,Winter
BIH,Bosnia and Herzegovina,2006,Winter
BLR,Belarus,2006,Winter
BMU,Bermuda,2006,Winter
BRA,Brazil,2006,Winter
CAN,Canada,2006,Winter
CHE,Switzerland,2006,Winter
CHL,Chile,2006,Winter
CHN,China,2006,Winter
CRI,Costa Rica,2006,Winter
CYP,Cyprus,2006,Winter
CZE,Czech Republic,2006,Winter
DEU,Germany,2006,Winter
DNK,Denmark,2006,Winter
DZA,Algeria,2006,Winter
ESP,Spain,2006,Winter
EST,Estonia,2006,Winter
ETH,Ethiopia,2006,Winter
FIN,Finland,2006,Winter
FRA,France,2006,Winter
